,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(O),Exit_λ(O),Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L),"Entry_calc_ha_o…(λ(O),O)","Exit_calc_ha_o…(λ(O),O)","Entry_calc_ha_h…(λ(H),calc_ha_o…,O)","Exit_calc_ha_h…(λ(H),calc_ha_o…,O)","Entry_calc_ha_l…(λ(L),calc_ha_o…,O)","Exit_calc_ha_l…(λ(L),calc_ha_o…,O)",Entry_smooth_ha…(calc_ha_o…),Exit_smooth_ha…(calc_ha_o…),Entry_smooth_ha…(O),Exit_smooth_ha…(O),Entry_smooth_ha…(calc_ha_h…),Exit_smooth_ha…(calc_ha_h…),Entry_smooth_ha…(calc_ha_l…),Exit_smooth_ha…(calc_ha_l…),"Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_0","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_0","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_1","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_1","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_2","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_2","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_3","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_3",Entry_calc_rsi(C),Exit_calc_rsi(C),Entry_calc_stoc…(calc_rsi(…),Exit_calc_stoc…(calc_rsi(…),Entry_calc_k(calc_stoc…),Exit_calc_k(calc_stoc…),Entry_calc_d(calc_k(ca…),Exit_calc_d(calc_k(ca…),Entry_λ(calc_k(ca…),Exit_λ(calc_k(ca…),Entry_λ(calc_d(ca…),Exit_λ(calc_d(ca…)
0,302,32,34,2.314342898816395,2.3143182247040985,,,-0.007451581913528571,-1.0661390025257234e-05,2025-05-26 22:15:00+00:00,2025-05-26 22:45:00+00:00,0 days 00:30:00,,2.314342898816395,2.3143182247040985,2.32095,2.3143182247040985,2.31419,2.3029,2.314342898816395,2.3143182247040985,2.32095,2.3143182247040985,2.31419,2.3029,2.3131555982245926,2.315046087056148,2.3169612500000003,2.31001875,2.3227149999999996,2.3153841123520493,2.31252,2.3065300000000004,1.8688037285197447,1.8840532956049685,1.8995018956199117,1.8435004436557225,1.9459143341130902,1.8867799657340443,1.8636766959748348,1.8153585544889939,51.023997472074996,35.795985363258524,0.5573072091254012,0.0,0.6868277885431552,0.24552224690688626,0.5994809950122232,0.5003587926505073,14.946223083452416,-20.3582202474491,7.958479600977853,0.028703412040584908
1,302,39,42,2.3075302570220027,2.30751503212775,,,-0.00459791806423393,-6.59791749468841e-06,2025-05-27 00:00:00+00:00,2025-05-27 00:45:00+00:00,0 days 00:45:00,,2.3075302570220027,2.30751503212775,2.3137,2.30751503212775,2.30669,2.299,2.3075302570220027,2.30751503212775,2.3137,2.30751503212775,2.30669,2.299,2.3067778855330046,2.308868798191625,2.310085,2.30369125,2.312495,2.308868798191625,2.306357757022003,2.30054,1.8173581151327314,1.8342243945440453,1.844034847140438,1.7924598693232243,1.8634750342824904,1.8342243945440453,1.8139691620714948,1.7670404130031454,57.573887988059894,37.5498749610316,0.788646911833319,0.06584650268177301,0.5454566841650914,0.1392144170956454,0.32291220039550694,0.35632929285283277,3.636534733207313,-28.86284663234837,-14.167023968359445,-11.493656571773379
2,304,49,60,2.288577187750998,2.294275451507691,,,1.7322721820347127,0.0024898717802448456,2025-05-27 02:30:00+00:00,2025-05-27 05:15:00+00:00,0 days 02:45:00,,2.288577187750998,2.294275451507691,2.2948,2.294275451507691,2.288577187750998,2.2842,2.288577187750998,2.294275451507691,2.2948,2.294275451507691,2.288577187750998,2.2842,2.287350781626497,2.295768177261537,2.29219625,2.289695,2.294455,2.295768177261537,2.287318593875499,2.285685,1.6606500090868515,1.7285486590428083,1.6997358231830286,1.67955957086392,1.717955957086394,1.7285486590428083,1.660390367633291,1.647213035411794,44.59532716523143,35.437816598308814,0.6628233498454729,0.1005001106941146,0.6148647938882403,0.38806087054398436,0.4414588551478278,0.6316643078255865,9.189183511059227,-8.955130356481252,-4.683291588173773,10.53314462604692
3,304,63,69,2.2926606814384614,2.295122002834976,,,0.7482417045404262,0.0010735654937694683,2025-05-27 06:00:00+00:00,2025-05-27 07:30:00+00:00,0 days 01:30:00,,2.2926606814384614,2.295122002834976,2.3063,2.30312,2.29239,2.29355,2.2926606814384614,2.295122002834976,2.3063,2.30312,2.29239,2.29355,2.291721022157692,2.295664254252464,2.2972687499999997,2.2957775,2.301805,2.29971,2.2915856814384616,2.2929000000000004,1.695902413145859,1.7277103674474794,1.7406529805598119,1.7286238606114377,1.777244494635799,1.7603452448172967,1.694810691606532,1.7054125998225418,67.01525041852094,54.643467009581435,1.0,0.5657554968705222,0.8384262780389212,0.39905065413823193,0.5771172818039702,0.37087322660898686,27.0741022431137,-8.075947668941446,6.169382544317614,-10.33014187128105
4,303,70,95,2.296319751417488,2.335730768637426,,,11.941538217641282,0.017162687032417967,2025-05-27 07:45:00+00:00,2025-05-27 14:00:00+00:00,0 days 06:15:00,,2.296319751417488,2.335730768637426,2.3038,2.3416,2.296319751417488,2.32957,2.296319751417488,2.335730768637426,2.3038,2.3416,2.296319751417488,2.32957,2.295720877126232,2.3368811529561393,2.2991400000000004,2.3341174999999996,2.30346,2.34046,2.294934875708744,2.328435,1.7281671140294586,2.0601851492791763,1.7557473582318346,2.0378922319916093,1.7905944986690328,2.0890538033395205,1.7218268589880161,1.9920545293216099,56.53161795736901,63.139189391847864,0.6213761998801487,0.2197677113948936,0.5003147743885189,0.10752375758020188,0.38059512636897647,0.27050722928482335,0.025181951081513887,-31.39809939358385,-9.552389890481884,-18.35942165721413
5,302,100,113,2.331072367769919,2.341123152754855,,,3.035337065450622,0.004311657211462316,2025-05-27 15:15:00+00:00,2025-05-27 18:30:00+00:00,0 days 03:15:00,,2.331072367769919,2.341123152754855,2.3388,2.341123152754855,2.331072367769919,2.33309,2.331072367769919,2.341123152754855,2.3388,2.341123152754855,2.331072367769919,2.33309,2.330347301654879,2.3417559791322824,2.33404875,2.3383000000000003,2.3375500000000002,2.3428815763774278,2.32873618388496,2.33474,2.0074800488414875,2.09950777714191,2.037337662337664,2.0716302331209198,2.065580382350572,2.108587370956102,1.9944840193995321,2.042913608131001,59.93964946760436,48.642580698854445,0.31400117114003606,0.11108002600836347,0.2620793929509191,0.09821628912455209,0.19059839335065734,0.18102955466164508,-19.033648563926473,-32.142696870035834,-24.752128531947413,-25.517635627068394
6,301,118,119,2.338047832898589,2.3376701664492945,,,-0.11367760123770809,-0.00016153067699498092,2025-05-27 19:45:00+00:00,2025-05-27 20:00:00+00:00,0 days 00:15:00,,2.338047832898589,2.3376701664492945,2.34077,2.3376701664492945,2.3343,2.33299,2.338047832898589,2.3376701664492945,2.34077,2.3376701664492945,2.3343,2.33299,2.338104249347884,2.3378589996739416,2.33761375,2.33622625,2.3407549999999997,2.3392200832246473,2.33425,2.3336449999999997,2.070051216809585,2.0680729182378137,2.06609461966605,2.054902395740908,2.0914334113091866,2.0790520547281393,2.0389610389610398,2.0340808260062913,42.82847621371993,41.65007150867962,0.0,0.0,0.14417459653925868,0.07985021100845091,0.19157088313007872,0.1597396464924746,-28.466032276859305,-33.611983119323924,-24.6743293495937,-27.22082828060203
7,304,131,135,2.315442999308215,2.3170840937067636,,,0.4988926971588228,0.0007087604398117175,2025-05-27 23:00:00+00:00,2025-05-28 00:00:00+00:00,0 days 01:00:00,,2.315442999308215,2.3170840937067636,2.32112,2.3170840937067636,2.315442999308215,2.3095,2.315442999308215,2.3170840937067636,2.32112,2.3170840937067636,2.315442999308215,2.3095,2.3146457489623224,2.3169636405601453,2.31799,2.315225,2.32051,2.3181170468533816,2.3146457489623224,2.312875,1.88082398130453,1.899521178996091,1.9078002742599027,1.8854964910865533,1.9281277728482715,1.908825093598304,1.88082398130453,1.8665402920061318,41.72285486917624,27.603424533732564,0.9641216026825349,0.5247611005305682,0.6874863683508322,0.7992537371023088,0.4292484794636569,0.8343391868200051,14.998909468066579,23.940298968184706,-5.660121642907448,26.747134945600408
8,305,148,149,2.308579767345423,2.3079386336727117,,,-0.1955457701769947,-0.0002777177907301587,2025-05-28 03:15:00+00:00,2025-05-28 03:30:00+00:00,0 days 00:15:00,,2.308579767345423,2.3079386336727117,2.30932,2.31052,2.30477,2.30505,2.308579767345423,2.3079386336727117,2.30932,2.31052,2.30477,2.30505,2.3088071510181347,2.3082592005090676,2.30771125,2.3073950000000005,2.309177267345423,2.30992,2.3052349999999997,2.30491,1.8337271196106708,1.8293070945314815,1.8248870694522887,1.822336049044129,1.8367126510076899,1.8427038799709616,1.804912478825521,1.8022908768250396,35.64520611802786,42.03795365360047,0.36256708569678425,0.570134894665441,0.4723602425770858,0.48810661471084477,0.4634365138676164,0.5026814946986212,-2.2111805938331344,-0.9514708231324178,-2.925078890590683,0.21451957588969606
9,304,151,153,2.309146533418178,2.3088497583545444,,,-0.09021961934467271,-0.00012852153786635512,2025-05-28 04:00:00+00:00,2025-05-28 04:30:00+00:00,0 days 00:30:00,,2.309146533418178,2.3088497583545444,2.3132,2.31353,2.30688,2.30605,2.309146533418178,2.3088497583545444,2.3132,2.31353,2.30688,2.30605,2.3084310501272673,2.3093321375318165,2.31053,2.30882125,2.313355,2.31244,2.307297783418178,2.30537,1.8306933139248809,1.8379619063629644,1.8476244252641778,1.8338408485924012,1.8704121964991547,1.8630313785593304,1.8215518546275564,1.8060014519641854,45.607591641727495,55.333126633187845,0.6860384137523156,1.0,0.7268885743884211,0.7347064242260051,0.6113533291563922,0.7237107425854225,18.15108595107369,18.776513938080406,8.908266332511374,17.896859406833798
